SUBPROG_COLLECTION,COUNTRY,SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,LEVEL,YYYYMM,DAY,SPOOL,SUBST,LISTSUB,VALUE,UNIT,FLAGQUA,FLAGSTA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200211,,1,TEMP,DB,3.38,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200201,,1,TEMP,DB,1.62,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200202,,1,TEMP,DB,1.76,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200203,,1,TEMP,DB,5.3,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200204,,1,TEMP,DB,8.8,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200207,,1,TEMP,DB,13.7,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200207,,1,TEMP,DB,14.84,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200208,,1,TEMP,DB,13.6,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-20,200208,,1,TEMP,DB,14.73,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200204,,1,TEMP,DB,3,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200204,,1,TEMP,DB,4.74,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200205,,1,TEMP,DB,7.5,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200205,,1,TEMP,DB,10.08,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200211,,1,TEMP,DB,6.61,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-40,200212,,1,TEMP,DB,3.77,oC,,X
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200201,,1,TEMP,DB,1.24,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200202,,1,TEMP,DB,1.6,oC,,XZ
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200203,,1,TEMP,DB,6.42,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200204,,1,TEMP,DB,10.8,oC,,Z
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200207,,1,TEMP,DB,13.3,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200207,,1,TEMP,DB,14.81,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200208,,1,TEMP,DB,13,oC,,A
CHEM,Austria,AM,AT01,EA,0939,SOIL,AM,-5,200208,,1,TEMP,DB,14.62,oC,,XA
CHEM,Austria,AM,AT01,EA,0939,AIR,AM,200,200203,,1,TEMP,DB,-6.68,oC,,A
