SUBPROG_COLLECTION,COUNTRY,SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,LEVEL,YYYYMM,SPOOL,SUBST,LISTSUB,PRETRE,DETER,VALUE,UNIT,FLAGQUA,FLAGSTA
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,NTOT,DB,,IC,0.465,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,PH,DB,,TIE,4.9,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,PREC,DB,,,93,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,PTOT,DB,,SP,0.002,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201602,1,SO4S,DB,,IC,0.22,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,CA,DB,,AAF,0.09,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,CL,DB,,IC,0.58,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,COND,DB,,CN,1.86,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,DOC,DB,,,3.2,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,K,DB,,AAF,0.09,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,MG,DB,,AAF,0.04,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,,DB,,AAF,0.21,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,NH4N,DB,,SP,0.58,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,NO3N,DB,,IC,0.58,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,NTOT,DB,,IC,1.303,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,PH,DB,,TIE,4.7,,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,PREC,DB,,,23,mm,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,PTOT,DB,,SP,0.002,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201603,1,SO4S,DB,,IC,0.34,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,CA,DB,,AAF,0.92,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,CL,DB,,IC,0.6,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,COND,DB,,CN,2.23,mS/m,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,K,DB,,AAF,0.14,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,MG,DB,,AAF,0.21,mg/l,,
CHEM,Sweden,PC,SE14,IV,0176,BULK,PC,150,201604,1,,DB,,AAF,1.13,mg/l,,
